productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
543843,Twilight Masquerade Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/543843_200w.jpg,3,23473,https://cpt.tcgcsv.com/Txm6,2024-11-08T21:26:29.913,1,"A Festival of Mischief & Mystery!
<br>Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!
<br>Twilight Masquerade will include:
<br>• Over 160 Cards
<br>• 6 ACE SPEC rare Trainer and Special Energy cards
<br>• 7 Pokémon ex and 7 Tera Pokémon ex
<br>• 21 illustration rare Pokémon
<br>• 11 special illustration rare Pokémon and Supporter cards
<br>• 6 hyper rare gold etched cards
<br>• More than 30 Trainer cards",6.0,7.96,79.4,7.21,,Normal,,,,,,,,,,,
543844,Twilight Masquerade Pokemon Center Elite Trainer Box (Exclusive),None,https://tcgplayer-cdn.tcgplayer.com/product/543844_200w.jpg,3,23473,https://cpt.tcgcsv.com/Vxm6,2024-05-24T04:03:34.233,1,"A Festival of Mischief & Mystery!
<br>Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!
<br>The Pokémon TCG: Scarlet & Violet—Twilight Masquerade Pokémon Center Elite Trainer Box includes:
<br>• 11 Pokémon TCG: Scarlet & Violet—Twilight Masquerade booster packs
<br>• Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.
<br>• 1 full-art foil promo card featuring Teal Mask Ogerpon with a Pokémon Center logo
<br>• 1 full-art foil promo card featuring Teal Mask Ogerpon
<br>• 65 card sleeves featuring Ogerpon
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Scarlet & Violet—Twilight Masquerade expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 plastic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",165.99,200.0,500.0,179.56,,Normal,,,,,,,,,,,
543845,Twilight Masquerade Elite Trainer Box,None,https://tcgplayer-cdn.tcgplayer.com/product/543845_200w.jpg,3,23473,https://cpt.tcgcsv.com/Wxm6,2024-05-24T04:03:34.233,2,"A Festival of Mischief & Mystery!
<br>Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!
<br>The Pokémon TCG: Scarlet & Violet—Twilight Masquerade Elite Trainer Box includes:
<br>• 9 Pokémon TCG: Scarlet & Violet—Twilight Masquerade booster packs
<br>• Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.
<br>• 1 full-art foil promo card featuring Teal Mask Ogerpon
<br>• 65 card sleeves featuring Ogerpon
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Scarlet & Violet—Twilight Masquerade expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 plastic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",75.0,100.0,999.99,90.2,,Normal,,,,,,,,,,,
543846,Twilight Masquerade Booster Box,None,https://tcgplayer-cdn.tcgplayer.com/product/543846_200w.jpg,3,23473,https://cpt.tcgcsv.com/Xxm6,2024-06-03T12:36:01.317,2,"Each Twilight Masquerade booster display contains 36 booster packs.<br> <em>(Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.)</em>
<br><strong>Release Description:</strong>
<br>A Festival of Mischief & Mystery!
Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!
<br>Twilight Masquerade will include:
<br>• Over 160 Cards
<br>• 6 ACE SPEC rare Trainer and Special Energy cards
<br>• 7 Pokémon ex and 7 Tera Pokémon ex
<br>• 21 illustration rare Pokémon
<br>• 11 special illustration rare Pokémon and Supporter cards
<br>• 6 hyper rare gold etched cards
<br>• More than 30 Trainer cards",329.0,398.95,1100.0,339.51,,Normal,,,,,,,,,,,
543852,Twilight Masquerade Booster Bundle,None,https://tcgplayer-cdn.tcgplayer.com/product/543852_200w.jpg,3,23473,https://cpt.tcgcsv.com/3zm6,2025-08-21T12:28:00.153,1,"Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!
<br>• Over 160 cards
<br>• Seven ACE SPEC Trainer and Special Energy cards (6 Trainer cards and 1 Special Energy)
<br>• 13 Pokémon ex and two Tera Pokémon ex
<br>• 22 illustration rare Pokémon
<br>• 10 special illustration rare Pokémon and Supporter cards
<br>• Six hyper rare gold etched cards

<br><br>

Includes: <br>
• 6 Pokémon TCG: Scarlet & Violet—Twilight Masquerade booster packs
<br><br><em>(Pokemon TCG booster packs and contents vary by product.)</em>",64.99,73.5,98.76,63.03,,Normal,0820650854125,,,,,,,,,,
544170,Twilight Masquerade Sleeved Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/544170_200w.jpg,3,23473,https://cpt.tcgcsv.com/qHm6,2026-02-19T19:17:33.927,1,"A Festival of Mischief & Mystery!
<br>
Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!<br><br>
Each Twilight Masquerade sleeved booster pack contains 10 random cards.",7.83,9.7,17.76,9.22,,Normal,0820650808197,,,,,,,,,,
544171,Twilight Masquerade 3 Pack Blister [Snorlax],None,https://tcgplayer-cdn.tcgplayer.com/product/544171_200w.jpg,3,23473,https://cpt.tcgcsv.com/rHm6,2026-02-19T19:15:38.993,1,"A Festival of Mischief & Mystery!
<br>
Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!<br><br>
Each blister comes with 3 Twilight Masquerade booster packs, a coin, and a promotional card of Snorlax.",39.61,39.69,99.99,37.72,,Normal,,,,,,,,,,,
544172,Twilight Masquerade 3 Pack Blister [Revavroom],None,https://tcgplayer-cdn.tcgplayer.com/product/544172_200w.jpg,3,23473,https://cpt.tcgcsv.com/sHm6,2026-02-19T19:15:21.687,1,"A Festival of Mischief & Mystery!
<br>
Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!<br><br>
Each blister comes with 3 Twilight Masquerade booster packs, a coin, and a promotional card of Revavroom.",30.82,33.99,36.99,29.35,,Normal,,,,,,,,,,,
544177,Twilight Masquerade Single Pack Blister [Pupitar],None,https://tcgplayer-cdn.tcgplayer.com/product/544177_200w.jpg,3,23473,https://cpt.tcgcsv.com/zHm6,2026-02-19T19:17:24.947,1,"A Festival of Mischief & Mystery!
<br>
Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!<br><br>
Each blister contains 1 Twilight Masquerade booster pack, a coin, and a promotional card of Pupitar.",8.0,13.99,25.0,11.57,,Normal,,,,,,,,,,,
544179,Twilight Masquerade Single Pack Blister [Toxel],None,https://tcgplayer-cdn.tcgplayer.com/product/544179_200w.jpg,3,23473,https://cpt.tcgcsv.com/CHm6,2026-02-19T19:17:29.183,1,"A Festival of Mischief & Mystery!
<br>
Welcome to the land of Kitakami, where people and Pokémon live harmoniously with nature. Folktales abound, but not all is as it seems... Uncover the mystery of the masked Legendary Pokémon Ogerpon, appearing as four fearsome types of Tera Pokémon ex, and team up with more newly discovered Pokémon, like Bloodmoon Ursaluna ex and Sinistcha ex. Growing in power, Greninja, Dragapult, and Magcargo dazzle as Tera Pokémon ex, and more ACE SPEC cards round out the festivities in the Pokémon TCG: Scarlet & Violet—Twilight Masquerade expansion!<br><br>Each blister contains 1 Twilight Masquerade booster pack, a coin, and a promotional card of Toxel.",7.5,9.45,15.0,11.06,,Normal,,,,,,,,,,,
