productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
630688,White Flare Pokemon Center Elite Trainer Box (Exclusive),None,https://tcgplayer-cdn.tcgplayer.com/product/630688_200w.jpg,3,24326,https://cpt.tcgcsv.com/Nh37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—White Flare
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region’s Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>
The Pokémon TCG: Scarlet & Violet— White Flare Pokémon Center Elite Trainer Box includes:<br>
•11 Pokémon TCG: Scarlet & Violet—White Flare booster packs<br>
       •Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
1 full-art foil promo card with a Pokémon Center logo<br>
1 full-art foil promo card<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—White Flare expansion
6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",225.98,298.99,1169.99,226.15,,Normal,,,,,,,,,,
630689,White Flare Elite Trainer Box,None,https://tcgplayer-cdn.tcgplayer.com/product/630689_200w.jpg,3,24326,https://cpt.tcgcsv.com/Ph37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—White Flare
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region’s Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>
The Pokémon TCG: Scarlet & Violet— White Flare Pokémon Center Elite Trainer Box includes:<br>
•9 Pokémon TCG: Scarlet & Violet—White Flare booster packs<br>
       •Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
1 full-art foil promo card with a Pokémon Center logo<br>
1 full-art foil promo card<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—White Flare expansion
6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",103.0,118.0,5000.0,110.28,,Normal,,,,,,,,,,
630692,White Flare Pokemon Center Elite Trainer Box (Exclusive) Case,None,https://tcgplayer-cdn.tcgplayer.com/product/630692_200w.jpg,3,24326,https://cpt.tcgcsv.com/Sh37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—White Flare
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region’s Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>
<strong>Each sealed Elite Trainer Box case contains 4 Elite Trainer Boxes</strong><br><br>
The Pokémon TCG: Scarlet & Violet— White Flare Pokémon Center Elite Trainer Box includes:<br>
•11 Pokémon TCG: Scarlet & Violet—White Flare booster packs<br>
       •Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
1 full-art foil promo card with a Pokémon Center logo<br>
1 full-art foil promo card<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—White Flare expansion
6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",,,,,,,,,,,,,,,,
630693,White Flare Elite Trainer Box Case,None,https://tcgplayer-cdn.tcgplayer.com/product/630693_200w.jpg,3,24326,https://cpt.tcgcsv.com/Th37,2026-02-19T18:55:27.613,1,"Scarlet & Violet—White Flare
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region’s Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>
Each sealed Elite Trainer Box case contains 10 Elite Trainer Boxes<br><br>
The Pokémon TCG: Scarlet & Violet— White Flare Pokémon Center Elite Trainer Box includes:<br>
•9 Pokémon TCG: Scarlet & Violet—White Flare booster packs<br>
       •Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
1 full-art foil promo card with a Pokémon Center logo<br>
1 full-art foil promo card<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—White Flare expansion
6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",1430.0,1439.75,1449.49,1031.81,,Normal,,,,,,,,,,
630694,White Flare  Binder Collection Case,None,https://tcgplayer-cdn.tcgplayer.com/product/630694_200w.jpg,3,24326,https://cpt.tcgcsv.com/Vh37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—White Flare<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region's Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>Includes five Scarlet & Violet—White Flare booster packs and one nine-pocket album featuring Zekrom or Reshiram, respectively, to organize and store Pokémon TCG cards.",594.19,594.19,594.19,290.1,,Normal,,,,,,,,,,
630695,White Flare Binder Collection,None,https://tcgplayer-cdn.tcgplayer.com/product/630695_200w.jpg,3,24326,https://cpt.tcgcsv.com/Wh37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—White Flare<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region's Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>Includes five Scarlet & Violet—White Flare or Scarlet & Violet—White Flare booster packs, respectively; and one nine-pocket album featuring Zekrom or Reshiram, respectively, to organize and store Pokémon TCG cards.",48.0,59.99,99.0,52.33,,Normal,,,,,,,,,,
630696,White Flare Booster Bundle,None,https://tcgplayer-cdn.tcgplayer.com/product/630696_200w.jpg,3,24326,https://cpt.tcgcsv.com/Xh37,2025-08-22T04:11:50.92,1,"Scarlet & Violet—White Flare<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region's Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>Includes six Scarlet & Violet—White Flare booster packs.",53.0,62.0,5000.0,59.54,,Normal,,,,,,,,,,
630697,White Flare Booster Bundle Case,None,https://tcgplayer-cdn.tcgplayer.com/product/630697_200w.jpg,3,24326,https://cpt.tcgcsv.com/Zh37,2025-08-22T04:11:50.92,1,"Scarlet & Violet—White Flare<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region's Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><em>(Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.)</em><br>
<br>
<br><br>
<br>Each Booster Bundle Case contains 25 Booster Bundles.",1749.89,2214.99,2439.95,1595.14,,Normal,,,,,,,,,,
630698,White Flare Booster Bundle Display,None,https://tcgplayer-cdn.tcgplayer.com/product/630698_200w.jpg,3,24326,https://cpt.tcgcsv.com/-h37,2025-08-22T04:11:50.92,1,"Scarlet & Violet—White Flare<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region's Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br>Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
<br><br><br>
Each display contains 10 White Flare Booster Bundles.",1399.99,1749.99,2000.0,801.81,,Normal,,,,,,,,,,
630699,White Flare Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/630699_200w.jpg,3,24326,https://cpt.tcgcsv.com/_h37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—White Flare<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partners Tepig and Oshawott all the way to Emboar and Samurott, and discover the undeniable power of truth with the region's Legendary and Mythical Pokémon, including Reshiram ex and Keldeo ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—White Flare expansion!<br><br>Each Scarlet & Violet— White Flare booster pack contains 10 random cards.",9.5,10.0,16.5,10.06,,Normal,,,,,,,,,,
