productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
630429,Black Bolt  Binder Collection Case,None,https://tcgplayer-cdn.tcgplayer.com/product/630429_200w.jpg,3,24325,https://cpt.tcgcsv.com/Cb37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—Black Bolt<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partner Snivy all the way to Serperior ex, and discover the inspiring power of ideals with the region's Legendary and Mythical Pokémon, including Zekrom ex and Meloetta ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—Black Bolt expansion!<br><br>Includes five Scarlet & Violet—Black Bolt or Scarlet & Violet—White Flare booster packs, respectively; and one nine-pocket album featuring Zekrom or Reshiram, respectively, to organize and store Pokémon TCG cards.",,,,,,,,,,,,,,,,
630430,Black Bolt Binder Collection,None,https://tcgplayer-cdn.tcgplayer.com/product/630430_200w.jpg,3,24325,https://cpt.tcgcsv.com/Db37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—Black Bolt<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partner Snivy all the way to Serperior ex, and discover the inspiring power of ideals with the region's Legendary and Mythical Pokémon, including Zekrom ex and Meloetta ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—Black Bolt expansion!<br><br>Includes five Scarlet & Violet—Black Bolt or Scarlet & Violet—White Flare booster packs, respectively; and one nine-pocket album featuring Zekrom or Reshiram, respectively, to organize and store Pokémon TCG cards.",48.0,59.99,144.0,54.11,,Normal,,,,,,,,,,
630431,Black Bolt Booster Bundle,None,https://tcgplayer-cdn.tcgplayer.com/product/630431_200w.jpg,3,24325,https://cpt.tcgcsv.com/Fb37,2025-08-22T04:11:50.92,1,"Scarlet & Violet—Black Bolt<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partner Snivy all the way to Serperior ex, and discover the inspiring power of ideals with the region's Legendary and Mythical Pokémon, including Zekrom ex and Meloetta ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—Black Bolt expansion!<br><br>Includes six Scarlet & Violet—Black Bolt booster packs.",54.95,69.93,5000.0,63.85,,Normal,,,,,,,,,,
630432,Black Bolt Booster Bundle Case,None,https://tcgplayer-cdn.tcgplayer.com/product/630432_200w.jpg,3,24325,https://cpt.tcgcsv.com/Gb37,2025-08-22T04:11:50.92,1,"Scarlet & Violet—Black Bolt<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partner Snivy all the way to Serperior ex, and discover the inspiring power of ideals with the region's Legendary and Mythical Pokémon, including Zekrom ex and Meloetta ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—Black Bolt expansion!<br><br>Each individual Booster Bundle Includes six booster packs from the Pokémon TCG: Scarlet & Violet— Black Bolt expansion<br>
<br><em>(Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.)</em><br>
<br>
<br><br>
<br>Each Booster Bundle Case contains 25 Booster Bundles.",1999.67,1999.83,2499.95,1666.67,,Normal,,,,,,,,,,
630433,Black Bolt Booster Bundle Display,None,https://tcgplayer-cdn.tcgplayer.com/product/630433_200w.jpg,3,24325,https://cpt.tcgcsv.com/Hb37,2025-08-22T04:11:50.92,1,"Scarlet & Violet—Black Bolt<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partner Snivy all the way to Serperior ex, and discover the inspiring power of ideals with the region's Legendary and Mythical Pokémon, including Zekrom ex and Meloetta ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—Black Bolt expansion!<br><br>Includes six booster packs from the Pokémon TCG: Scarlet & Violet— Black Bolt expansion<br>
<br>Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
<br><br><br>
Each display contains 10 Black Bolt Booster Bundles.",1999.97,2000.0,2000.0,907.5,,Normal,,,,,,,,,,
630434,Black Bolt Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/630434_200w.jpg,3,24325,https://cpt.tcgcsv.com/Jb37,2025-07-18T04:33:22.22,1,"Scarlet & Violet—Black Bolt<br>
<br>Reunite with the Pokémon of Unova and rise to the top as a Trainer in a land of unity and legends! Evolve first partner Snivy all the way to Serperior ex, and discover the inspiring power of ideals with the region's Legendary and Mythical Pokémon, including Zekrom ex and Meloetta ex. As you fill out your Pokédex, keep an eye out for special illustrations of each Pokémon and parallel cards with Poké Ball patterns in the Pokémon TCG: Scarlet & Violet—Black Bolt expansion!<br><br>Each Scarlet & Violet— Black Bolt booster pack contains 10 random cards.",9.75,11.26,16.5,11.12,,Normal,,,,,,,,,,
630438,Unova Mini Tin [Garbodor & Amoonguss],None,https://tcgplayer-cdn.tcgplayer.com/product/630438_200w.jpg,3,24325,https://cpt.tcgcsv.com/Nb37,2025-07-18T04:33:22.22,1,"The Pokémon TCG: Scarlet & Violet—Black Bolt Mini Tins includes:<br>
<br><br>
<br>2 Pokémon TCG: Scarlet & Violet— Black Bolt booster packs<br>
<br>Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
<br>1 art card matching the tin<br>
<br>1 coin",19.88,28.12,31.89,20.85,,Normal,,,,,,,,,,
630439,Unova Mini Tin [Chandelure & Zorua],None,https://tcgplayer-cdn.tcgplayer.com/product/630439_200w.jpg,3,24325,https://cpt.tcgcsv.com/Pb37,2025-07-18T04:33:22.22,1,"The Pokémon TCG: Scarlet & Violet—Black Bolt Mini Tins includes:<br>
<br><br>
<br>2 Pokémon TCG: Scarlet & Violet— Black Bolt booster packs<br>
<br>Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
<br>1 art card matching the tin<br>
<br>1 coin",29.99,29.99,29.99,23.65,,Normal,,,,,,,,,,
630440,Unova Mini Tin [Krookodile & Excadrill],None,https://tcgplayer-cdn.tcgplayer.com/product/630440_200w.jpg,3,24325,https://cpt.tcgcsv.com/Qb37,2025-07-18T04:33:22.22,1,"The Pokémon TCG: Scarlet & Violet—Black Bolt Mini Tins includes:<br>
<br><br>
<br>2 Pokémon TCG: Scarlet & Violet— Black Bolt booster packs<br>
<br>Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
<br>1 art card matching the tin<br>
<br>1 coin",26.24,29.9,29.99,20.53,,Normal,,,,,,,,,,
630441,Unova Mini Tin [Volcarona & Emolga],None,https://tcgplayer-cdn.tcgplayer.com/product/630441_200w.jpg,3,24325,https://cpt.tcgcsv.com/Rb37,2025-07-18T04:33:22.22,1,"The Pokémon TCG: Scarlet & Violet—Black Bolt Mini Tins includes:<br>
<br><br>
<br>2 Pokémon TCG: Scarlet & Violet— Black Bolt booster packs<br>
<br>Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
<br>1 art card matching the tin<br>
<br>1 coin",19.99,25.62,40.0,18.38,,Normal,,,,,,,,,,
