productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
666906,Mega Evolution: Ascended Heroes Collection - Erika,None,https://tcgplayer-cdn.tcgplayer.com/product/666906_200w.jpg,3,24541,https://cpt.tcgcsv.com/8Nl7,2026-02-20T05:10:11.563,1,"Discover a Trainer’s Pokémon at the Gym!
<br>The Celadon City Gym, led by Gym Leader Erika, is filled with beautiful greenery and Grass-type Pokémon galore.
<br>In this collection, you’ll find a promo card featuring Erika’s Tangela, a metallic coin featuring Erika, and two booster packs from the special Mega Evolution—Ascended Heroes expansion.
<br>
<br>The Pokémon TCG: Mega Evolution—Ascended Heroes Collection—Erika includes:
<br>
<br>• 1 foil promo card featuring Erika’s Tangela
<br>• 1 Pokémon coin featuring Erika
<br>• 2 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",15.0,27.0,72.99,25.46,,Normal,,,,,,,,,,,
666907,Mega Evolution: Ascended Heroes Collection - Larry,None,https://tcgplayer-cdn.tcgplayer.com/product/666907_200w.jpg,3,24541,https://cpt.tcgcsv.com/9Nl7,2026-02-20T05:10:11.563,1,"Discover a Trainer’s Pokémon at the Gym!

<br>Visitors to Medali in the Paldea region have the chance to battle Gym Leader Larry and his Normal-type Pokémon.

<br>In this collection, you’ll find a promo card featuring Larry’s Komala, a metallic coin featuring Larry, and two booster packs from the special Mega Evolution—Ascended Heroes expansion.
<br><br>The Pokémon TCG: Mega Evolution—Ascended Heroes Collection—Larry includes:
<br>
<br>• 1 foil promo card featuring Larry’s Komala
<br>• 1 Pokémon coin featuring Larry
<br>• 2 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",20.0,27.0,77.99,24.61,,Normal,,,,,,,,,,,
666908,Mega Evolution: Ascended Heroes Tech Sticker Collection - Charmander,None,https://tcgplayer-cdn.tcgplayer.com/product/666908_200w.jpg,3,24541,https://cpt.tcgcsv.com/bNl7,2026-01-30T05:10:19.683,3,"Mega Evolve Your Sticker Game!
<br>
<br>Pokémon from the Kanto region are ascending to greatness—as both promo cards and tech stickers! In this collection, you’ll find Charmander as a foil promo card, plus a sheet of tech stickers featuring Charmander and Mega Charizard Y. Top it all off with even more Pokémon inside three booster packs from the special Mega Evolution—Ascended Heroes expansion!
<br>
<br>The Pokémon TCG: Mega Evolution—Ascended Heroes Tech Sticker Collection—Charmander includes:
<br>
<br>• 1 foil promo card featuring Charmander
<br>• 1 tech sticker sheet (featuring Charmander and Mega Charizard Y)
<br>• 3 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",31.95,44.5,87.99,37.01,,Normal,,,,,,,,,,,
666909,Mega Evolution: Ascended Heroes Tech Sticker Collection - Gastly,None,https://tcgplayer-cdn.tcgplayer.com/product/666909_200w.jpg,3,24541,https://cpt.tcgcsv.com/cNl7,2026-01-30T05:10:19.683,3,"Mega Evolve Your Sticker Game!
<br>
<br>Pokémon from the Kanto region are ascending to greatness—as both promo cards and tech stickers! In this collection, you’ll find Gastly as a foil promo card, plus a sheet of tech stickers featuring Gastly and Mega Gengar. Top it all off with even more Pokémon inside three booster packs from the special Mega Evolution—Ascended Heroes expansion!
<br>
<br>The Pokémon TCG: Mega Evolution—Ascended Heroes Tech Sticker Collection—Gastly includes:
<br>
<br>• 1 foil promo card featuring Gastly
<br>• 1 tech sticker sheet (featuring Gastly and Mega Gengar)
<br>• 3 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",33.71,45.0,67.99,38.14,,Normal,,,,,,,,,,,
668496,Ascended Heroes Elite Trainer Box,None,https://tcgplayer-cdn.tcgplayer.com/product/668496_200w.jpg,3,24541,https://cpt.tcgcsv.com/Xpm7,2026-02-28T13:33:25.673,1,"Rise to a New Challenge!<br>

Marvel at the awesome potential as Mega Dragonite ex takes flight, leading a gathering of all-star Pokémon to battle! Trainer’s Pokémon and Stellar Tera Pokémon ex join returning and newly discovered Mega Evolution Pokémon ex, including some with special artwork showing off their biggest and boldest attacks. Celebrate the stars of Scarlet & Violet and the dawn of Mega Evolution with the Pokémon TCG: Mega Evolution—Ascended Heroes expansion!<br><br>

The Pokémon TCG: Ascended Heroes Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Ascended Heroes booster packs<br>
• 1 full-art foil promo card<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Ascended Heroes expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",136.0,180.0,555.0,144.2,,Normal,0196214114845,,,,,,,,,,
668497,Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),None,https://tcgplayer-cdn.tcgplayer.com/product/668497_200w.jpg,3,24541,https://cpt.tcgcsv.com/Zpm7,2026-02-28T13:33:40.687,1,"Rise to a New Challenge!<br>

Marvel at the awesome potential as Mega Dragonite ex takes flight, leading a gathering of all-star Pokémon to battle! Trainer’s Pokémon and Stellar Tera Pokémon ex join returning and newly discovered Mega Evolution Pokémon ex, including some with special artwork showing off their biggest and boldest attacks. Celebrate the stars of Scarlet & Violet and the dawn of Mega Evolution with the Pokémon TCG: Mega Evolution—Ascended Heroes expansion!<br><br>

The Pokémon TCG: Ascended Heroes Elite Trainer Box includes:<br>
• 11 Pokémon TCG: Ascended Heroes booster packs<br>
• 2 full-art foil promo cards<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Ascended Heroes expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",479.0,577.3,2500.0,430.51,,Normal,,,,,,,,,,,
668530,Ascended Heroes Mini Tins 5-Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/668530_200w.jpg,3,24541,https://cpt.tcgcsv.com/Dqm7,2026-02-20T05:10:11.563,1,"Each product contains 5 Ascended Heroes Mini Tins designs and 4 reverse cosmos holo promo cards.
<br>
<br><strong>Ascended Heroes Mini Tin contents:</strong>
<br>• 2 Pokemon TCG booster packs
<br>• 1 Pokemon coin
<br>• 1 Pokemon art card 
<br>
<br><em>(Pokemon TCG booster packs, coins, and contents vary by product.)</em>",125.0,138.5,197.15,130.61,,Normal,,,,,,,,,,,
668531,Ascended Heroes Mini Tin [Pikachu & Tepig],None,https://tcgplayer-cdn.tcgplayer.com/product/668531_200w.jpg,3,24541,https://cpt.tcgcsv.com/Fqm7,2026-02-20T05:10:11.563,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",21.99,27.45,59.99,25.74,,Normal,,,,,,,,,,,
668532,Ascended Heroes Mini Tin [Riolu & Darumaka],None,https://tcgplayer-cdn.tcgplayer.com/product/668532_200w.jpg,3,24541,https://cpt.tcgcsv.com/Gqm7,2026-02-20T05:10:11.563,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",18.0,27.5,44.31,24.88,,Normal,,,,,,,,,,,
668533,Ascended Heroes Mini Tin [Zorua & Cramorant],None,https://tcgplayer-cdn.tcgplayer.com/product/668533_200w.jpg,3,24541,https://cpt.tcgcsv.com/Hqm7,2026-02-20T05:10:11.563,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",20.0,26.15,49.99,25.03,,Normal,,,,,,,,,,,
668534,Ascended Heroes Mini Tin [Togepi & Totodile],None,https://tcgplayer-cdn.tcgplayer.com/product/668534_200w.jpg,3,24541,https://cpt.tcgcsv.com/Jqm7,2026-02-20T05:10:11.563,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",22.0,26.25,44.31,25.06,,Normal,,,,,,,,,,,
668535,Ascended Heroes Mini Tin [Clefairy & Chikorita],None,https://tcgplayer-cdn.tcgplayer.com/product/668535_200w.jpg,3,24541,https://cpt.tcgcsv.com/Kqm7,2026-02-20T05:10:11.563,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",19.99,25.59,44.31,25.47,,Normal,,,,,,,,,,,
668536,Premium Poster Collection: Mega Lucario,None,https://tcgplayer-cdn.tcgplayer.com/product/668536_200w.jpg,3,24541,https://cpt.tcgcsv.com/Lqm7,2026-03-20T04:10:10.28,1,"Decorate Your Space with Mega Lucario ex or Mega Gardevoir ex!
<br>With strong attacks and big HP, Mega Lucario ex and Mega Gardevoir ex break through boundaries in battle! Team up with one of these powerful Mega Evolution Pokémon ex as a full-art foil promo card, then find even more Pokémon inside a stack of 10 booster packs from Mega Evolution—Ascended Heroes. You’ll also get a large poster showing off Mega Lucario or Mega Gardevoir and other Pokémon featured in this special expansion.

<br><br>Each Pokémon TCG: Mega Evolution—Ascended Heroes Premium Poster Collection—Mega Lucario or Mega Gardevoir includes:
<br>• 1 foil promo card featuring Mega Lucario ex or Mega Gardevoir ex
<br>• 1 double-sided poster, 26.875"" × 39""
<br>• 10 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs
<br>• A code card for Pokémon TCG Live",117.77,135.5,200.0,115.44,,Normal,,,,,,,,,,,
668537,Premium Poster Collection: Mega Gardevoir,None,https://tcgplayer-cdn.tcgplayer.com/product/668537_200w.jpg,3,24541,https://cpt.tcgcsv.com/Mqm7,2026-03-20T04:10:10.28,1,"Decorate Your Space with Mega Lucario ex or Mega Gardevoir ex!
<br>With strong attacks and big HP, Mega Lucario ex and Mega Gardevoir ex break through boundaries in battle! Team up with one of these powerful Mega Evolution Pokémon ex as a full-art foil promo card, then find even more Pokémon inside a stack of 10 booster packs from Mega Evolution—Ascended Heroes. You’ll also get a large poster showing off Mega Lucario or Mega Gardevoir and other Pokémon featured in this special expansion.

<br><br>Each Pokémon TCG: Mega Evolution—Ascended Heroes Premium Poster Collection—Mega Lucario or Mega Gardevoir includes:
<br>• 1 foil promo card featuring Mega Lucario ex or Mega Gardevoir ex
<br>• 1 double-sided poster, 26.875"" × 39""
<br>• 10 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs
<br>• A code card for Pokémon TCG Live",109.99,139.95,222.0,112.0,,Normal,,,,,,,,,,,
668541,Ascended Heroes Booster Bundle,None,https://tcgplayer-cdn.tcgplayer.com/product/668541_200w.jpg,3,24541,https://cpt.tcgcsv.com/Rqm7,2026-04-24T04:10:20.96,1,"Rise to a New Challenge!
<br>
Marvel at the awesome potential as Mega Dragonite ex takes flight, leading a gathering of all-star Pokémon to battle! Trainer’s Pokémon and Stellar Tera Pokémon ex join returning and newly discovered Mega Evolution Pokémon ex, including some with special artwork showing off their biggest and boldest attacks. Celebrate the stars of Scarlet & Violet and the dawn of Mega Evolution with the Pokémon TCG: Mega Evolution—Ascended Heroes expansion!
<br><br> Expand your collection with this Booster Bundle containing six booster packs from Pokémon TCG: Mega Evolution—Ascended Heroes!",74.99,87.99,222.0,77.39,,Normal,,,,,,,,,,,
672391,Ascended Heroes First Partners Deluxe Pin Collection,None,https://tcgplayer-cdn.tcgplayer.com/product/672391_200w.jpg,3,24541,https://cpt.tcgcsv.com/RZn7,2026-03-30T18:32:21.91,1,"Chikorita, Tepig & Totodile Join Your Journey!
<br>
Before going on a new adventure, it’s essential to choose a first partner Pokémon! With this box, you can befriend the Grass type Chikorita, Fire type
Tepig, and Water type Totodile as foil promo cards and as a deluxe pin showing off all three Pokémon together in glossy enamel. You also get five booster packs from the special Mega Evolution—Ascended Heroes expansion!

<br><br>
The Pokémon TCG: Mega Evolution—Ascended Heroes First Partners Deluxe Pin Collection includes:<br>
• 3 foil promo cards featuring Chikorita, Tepig, and Totodile<br>
• 1 deluxe pin featuring Chikorita, Tepig, and Totodile<br>
• 5 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs<br>",50.0,60.0,151.0,57.14,,Normal,0196214141421,,,,,,,,,,
672392,Ascended Heroes First Partners Deluxe Pin Collection Case,None,https://tcgplayer-cdn.tcgplayer.com/product/672392_200w.jpg,3,24541,https://cpt.tcgcsv.com/SZn7,2026-03-20T04:10:10.28,1,"Chikorita, Tepig & Totodile Join Your Journey!<br>

Before going on a new adventure, it’s essential to choose a first partner Pokémon! With this box, you can befriend the Grass type Chikorita, Fire type
Tepig, and Water type Totodile as foil promo cards and as a deluxe pin showing off all three Pokémon together in glossy enamel. You also get five booster packs from the special Mega Evolution—Ascended Heroes expansion!
<br><br>
<strong> Case contains 6 Ascended Heroes First Partners Deluxe Pin Collection </strong>
<br><br>
The Pokémon TCG: Mega Evolution—Ascended Heroes First Partners Deluxe Pin Collection includes:<br>
• 3 foil promo cards featuring Chikorita, Tepig, and Totodile<br>
• 1 deluxe pin featuring Chikorita, Tepig, and Totodile<br>
• 5 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs<br>",336.97,379.99,499.99,340.3,,Normal,10196214141428,,,,,,,,,,
672434,Ascended Heroes Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/672434_200w.jpg,3,24541,https://cpt.tcgcsv.com/J-n7,2026-01-30T05:10:19.683,1,"Rise to a New Challenge!<br>
Marvel at the awesome potential as Mega Dragonite ex takes flight, leading a gathering of all-star Pokémon to battle! Trainer’s Pokémon and Stellar Tera Pokémon ex join returning and newly discovered Mega Evolution Pokémon ex, including some with special artwork showing off their biggest and boldest attacks. Celebrate the stars of Scarlet & Violet and the dawn of Mega Evolution with the Pokémon TCG: Mega Evolution—Ascended Heroes expansion!
<br>
<br>
Product Details:<br>
• Each Booster contains 10 random cards",11.22,12.69,24.99,12.32,,Normal,,,,,,,,,,,
672733,Ascended Heroes Mega Meganium ex Box,None,https://tcgplayer-cdn.tcgplayer.com/product/672733_200w.jpg,3,24541,https://cpt.tcgcsv.com/H6p7,2026-04-24T04:10:22.94,1,"Mega Evolution Pokémon ex Embody Heart and Power in Battle!<br>
Forge a bond that takes your partner Pokémon’s strength past the limit with Mega Evolution! In this box, you’ll find Mega Meganium ex, Mega Emboar ex,
or Mega Feraligatr ex as a playable foil promo card, along with an oversize lenticular card with dynamic artwork and four booster packs from the special
Mega Evolution—Ascended Heroes expansion.<br><br>
The Pokémon TCG: Mega Evolution—Ascended Heroes Mega Meganium ex Box, includes:
• 1 foil promo card featuring Mega Meganium ex,
• 1 oversize lenticular promo card featuring Mega Meganium ex• 4 Pokémon • TCG: Mega Evolution—Ascended Heroes booster packs",51.98,60.11,151.0,53.49,,Normal,0196214141469,,,,,,,,,,
